"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:38:30 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp02_+SIW
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"<HEADER extra/>"
Data,"Average biomass by group (t/km^2)"
Area,"Total area (km^2)"
Number_of_cells,3600
"<HEADER end/>"

TimeStep,"big fish","medium fish","small fish","mobile inverts","sessile epifauna",zooplankton,phytoplankton,macrolagae,detritus
1,0.4337215,2.205988,3.569076,8.778672,51.24592,75.11385,61.17496,263.564,384.9477
2,0.4324493,2.212339,3.572186,8.766541,51.28033,75.10572,61.15003,263.5697,384.8431
3,0.4312379,2.21785,3.575433,8.75501,51.30964,75.09275,61.12658,263.5759,384.7396
4,0.43008,2.222521,3.57879,8.744079,51.33389,75.07498,61.10494,263.5828,384.6381
5,0.4289732,2.226334,3.582222,8.733764,51.35311,75.05299,61.08525,263.5899,384.54
6,0.4279175,2.228928,3.585703,8.724123,51.3677,75.02758,61.06784,263.598,384.4475
7,0.4269114,2.230687,3.589216,8.715137,51.37759,74.99866,61.05293,263.6064,384.3623
8,0.4259546,2.231726,3.592709,8.706879,51.3834,74.96748,61.04054,263.6151,384.2856
9,0.4252596,2.232091,3.596188,8.69932,51.38529,74.93406,61.031,263.6233,384.2165
10,0.4246307,2.231803,3.599599,8.692513,51.38338,74.89909,61.02411,263.6315,384.1574
11,0.424039,2.230893,3.60294,8.686353,51.37823,74.86332,61.02006,263.6402,384.1079
12,0.4234769,2.22939,3.606157,8.680905,51.37037,74.82731,61.01857,263.6494,384.0691
13,0.4229441,2.227045,3.609258,8.676559,51.35983,74.79156,61.0199,263.6574,384.0423
14,0.4224358,2.224033,3.612217,8.672915,51.34694,74.7564,61.02375,263.6658,384.025
15,0.4219538,2.220474,3.615014,8.669826,51.3321,74.72247,61.02973,263.6741,384.02
