"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:38:30 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp02_+SIW
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"<HEADER extra/>"
Data,"Average regional consumption by pred, prey (t/km^2)"
Area,"Region 1"
Number_of_cells,56
"<HEADER end/>"

TimeStep,"big fish|medium fish","big fish|small fish","big fish|mobile inverts","medium fish|mobile inverts","medium fish|sessile epifauna","small fish|zooplankton","small fish|phytoplankton","small fish|macrolagae","mobile inverts|sessile epifauna","mobile inverts|macrolagae","mobile inverts|detritus","sessile epifauna|zooplankton","sessile epifauna|phytoplankton",zooplankton|phytoplankton
1,0.7616884,0.815343,0.2062832,18.2584,2.12789,27.20831,4.719765,11.97844,72.47767,66.40169,42.12474,232.3775,238.4475,4491.292
2,0.7669005,0.813199,0.2050135,18.2528,2.135544,27.22897,4.718956,11.98034,72.50328,66.36318,42.03953,232.6281,238.4725,4491.438
3,0.7723905,0.8111435,0.2037177,18.24609,2.143275,27.24909,4.718497,11.98259,72.52494,66.32328,41.95077,232.863,238.4989,4491.479
4,0.7781239,0.8091599,0.2024004,18.23853,2.151018,27.26863,4.718427,11.98521,72.5421,66.28236,41.85958,233.0789,238.526,4491.418
5,0.7840069,0.8072364,0.2010672,18.23018,2.158697,27.28755,4.718781,11.98818,72.55439,66.24081,41.76699,233.273,238.5535,4491.259
6,0.7899616,0.8053702,0.1997241,18.22101,2.166241,27.30585,4.719585,11.99149,72.56156,66.19891,41.67377,233.4435,238.5812,4491.009
7,0.7956346,0.8035597,0.1983772,18.20975,2.173467,27.32351,4.720856,11.99515,72.56347,66.15694,41.58065,233.5888,238.6091,4490.674
8,0.8011914,0.8018058,0.1970361,18.19775,2.180429,27.34053,4.722604,11.99912,72.56036,66.1153,41.48868,233.708,238.6373,4490.263
9,0.8066396,0.8001068,0.1957084,18.18553,2.187116,27.35691,4.724832,12.00338,72.55249,66.07433,41.39878,233.8007,238.666,4489.784
10,0.8119465,0.7985652,0.1944235,18.17286,2.193451,27.37267,4.727535,12.00792,72.5401,66.03423,41.3115,233.8668,238.6953,4489.245
11,0.8168854,0.7970985,0.193168,18.15972,2.19937,27.3878,4.730699,12.0127,72.52358,65.99529,41.2276,233.9069,238.7254,4488.657
12,0.82114,0.7956831,0.1919422,18.14573,2.204782,27.4023,4.734303,12.0177,72.50342,65.95773,41.14769,233.9216,238.7565,4488.03
13,0.8249875,0.7943125,0.1907494,18.13186,2.209772,27.41622,4.738322,12.02286,72.48007,65.92179,41.07236,233.9121,238.7885,4487.373
14,0.8283039,0.7929848,0.1896027,18.11835,2.214265,27.42956,4.742725,12.02818,72.45459,65.88809,41.00299,233.8798,238.8218,4486.696
15,0.8310819,0.7916932,0.1884968,18.10483,2.218271,27.44236,4.747476,12.03359,72.42693,65.85642,40.93908,233.8262,238.8561,4486.01
16,0.8332529,0.7904306,0.1874317,18.09109,2.221768,27.45464,4.752536,12.03908,72.39736,65.82674,40.88066,233.7533,238.8914,4485.324
17,0.8349622,0.7891949,0.1864097,18.07781,2.224829,27.46646,4.757861,12.0446,72.36634,65.79912,40.82784,233.663,238.9276,4484.648
18,0.8361996,0.7879844,0.1854331,18.06505,2.227459,27.47782,4.763405,12.05012,72.33427,65.77357,40.78069,233.5575,238.9647,4483.989
