"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:43:49 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp04_+SIW+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average regional consumption by pred, prey (t/km^2)"
Area,"Region 1"
Number_of_cells,56
"<HEADER end/>"

TimeStep,"big fish|medium fish","big fish|small fish","big fish|mobile inverts","medium fish|mobile inverts","medium fish|sessile epifauna","small fish|zooplankton","small fish|phytoplankton","small fish|macrolagae","mobile inverts|sessile epifauna","mobile inverts|macrolagae","mobile inverts|detritus","sessile epifauna|zooplankton","sessile epifauna|phytoplankton",zooplankton|phytoplankton
1,0.9660687,0.9698092,0.1847064,22.85615,2.25613,35.77864,6.036881,14.73471,81.59601,86.76817,49.01795,215.2513,213.9108,4512.742
2,0.9605953,0.9717099,0.185238,22.88111,2.252353,35.79004,6.039899,14.73651,81.60695,86.83424,49.08468,215.1841,213.8677,4512.805
3,0.9556985,0.9737286,0.1857703,22.90481,2.248591,35.80033,6.042747,14.73804,81.61219,86.89845,49.14752,215.117,213.8206,4512.886
4,0.9513819,0.9758281,0.1862988,22.92749,2.244885,35.80954,6.045401,14.73931,81.61241,86.96095,49.20647,215.0511,213.7704,4512.984
5,0.9476296,0.9779742,0.1868192,22.94916,2.24127,35.81767,6.047839,14.7403,81.60812,87.02158,49.2614,214.9874,213.7175,4513.098
6,0.9442276,0.9801357,0.1873271,22.9687,2.237676,35.82475,6.050042,14.74103,81.59974,87.08006,49.31216,214.9267,213.6625,4513.225
7,0.9412584,0.9822832,0.1878194,22.98674,2.234187,35.83082,6.051995,14.74149,81.58782,87.13615,49.35877,214.8698,213.6061,4513.365
8,0.9388245,0.9844645,0.1883064,23.00351,2.23085,35.83593,6.053683,14.74166,81.57286,87.18968,49.40125,214.8175,213.5486,4513.515
9,0.9368365,0.9866008,0.1887747,23.01902,2.227684,35.84011,6.055093,14.74157,81.55531,87.24042,49.43958,214.7702,213.4907,4513.673
10,0.9351287,0.9886451,0.1892155,23.0329,2.224679,35.84343,6.056218,14.74121,81.5356,87.2882,49.4738,214.7283,213.4328,4513.837
11,0.9338734,0.9906108,0.1896349,23.04576,2.2219,35.84593,6.057051,14.74058,81.51421,87.33288,49.50397,214.6922,213.3752,4514.006
12,0.9330564,0.9924808,0.1900307,23.05766,2.219368,35.84767,6.05759,14.7397,81.49151,87.37431,49.53011,214.662,213.3184,4514.176
13,0.9326608,0.9942402,0.1904001,23.06859,2.217099,35.84871,6.05784,14.73857,81.46779,87.41231,49.55217,214.6379,213.2627,4514.346
14,0.932573,0.9958754,0.190741,23.07821,2.215072,35.84912,6.057803,14.73721,81.44342,87.44682,49.5702,214.6197,213.2086,4514.515
15,0.9328108,0.9973758,0.1910519,23.08673,2.21331,35.84897,6.057487,14.73563,81.41872,87.47775,49.58432,214.6074,213.1561,4514.679
16,0.93336,0.9987339,0.1913317,23.09426,2.211819,35.84832,6.056905,14.73386,81.39398,87.50504,49.59466,214.6008,213.1058,4514.836
