"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:43:49 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp04_+SIW+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average regional biomass by group (t/km^2)"
Area,"Region 1"
Number_of_cells,56
"<HEADER end/>"

TimeStep,"big fish","medium fish","small fish","mobile inverts","sessile epifauna",zooplankton,phytoplankton,macrolagae,detritus
1,0.5286821,2.558755,4.724972,10.98678,47.64554,75.18566,60.71066,264.2115,382.4397
2,0.5283569,2.56076,4.725739,10.99217,47.63148,75.18965,60.71368,264.1907,382.4483
3,0.5280234,2.563622,4.726289,10.9965,47.61747,75.19437,60.71645,264.1695,382.4565
4,0.527683,2.567272,4.726627,10.99984,47.6037,75.19971,60.71891,264.1483,382.4637
5,0.5273375,2.571093,4.726755,11.00225,47.59034,75.20565,60.72104,264.1272,382.4702
6,0.526988,2.575363,4.726689,11.00382,47.57754,75.21204,60.72275,264.1064,382.4757
7,0.5267856,2.580107,4.726437,11.00463,47.56541,75.2188,60.72405,264.0861,382.4799
8,0.5265943,2.585287,4.726007,11.00473,47.55405,75.22583,60.7249,264.0663,382.4828
9,0.5264038,2.590852,4.725418,11.00417,47.54357,75.23302,60.72529,264.0471,382.4843
10,0.5262132,2.596747,4.724683,11.00302,47.534,75.24026,60.72522,264.0286,382.4842
11,0.5260232,2.602917,4.72382,11.0013,47.52542,75.24746,60.72464,264.011,382.4824
12,0.5258344,2.609308,4.722847,10.99907,47.51782,75.2545,60.72359,263.9943,382.4789
13,0.5256474,2.61587,4.721781,10.99636,47.51124,75.26129,60.72211,263.9785,382.4737
14,0.5254626,2.622549,4.720642,10.99322,47.50569,75.26774,60.72018,263.9638,382.4669
15,0.5252807,2.629299,4.719448,10.9897,47.50111,75.27376,60.71784,263.9502,382.4583
16,0.525102,2.636079,4.718219,10.98581,47.49752,75.27927,60.71513,263.9377,382.4484
17,0.5249273,2.643778,4.716971,10.98159,47.49485,75.28423,60.71209,263.9264,382.4368
18,0.5247575,2.65165,4.715724,10.977,47.49306,75.28856,60.70873,263.9162,382.424
19,0.5245932,2.659444,4.714497,10.972,47.49212,75.29222,60.70515,263.9073,382.41
20,0.5244347,2.66705,4.713302,10.96662,47.49196,75.29519,60.70137,263.8995,382.395
21,0.5242828,2.674406,4.712159,10.96085,47.49253,75.29745,60.69742,263.8931,382.3791
22,0.5241374,2.681465,4.711083,10.95474,47.4938,75.29895,60.69339,263.8878,382.3626
23,0.5239987,2.688189,4.710083,10.94832,47.49575,75.29975,60.68933,263.884,382.3456
24,0.5238671,2.694546,4.709174,10.94164,47.49829,75.29983,60.68526,263.8813,382.3285
